19.1.1	doṣo gāya bṛhad gāya dyumad gāyātharvaṇa | stuhi devaṃ savitāram ||
19.36.18	yady asy apsarāvīr yadi tvā rakṣo agrabhīt | tasmā apaplavaṃ havir manasā juhomi te ||
19.37.1	abhi tvā śatapāśayā- -atho sahasrapāśayā | dāśo matsyam iva tīdena mayi badhnāmi te manaḥ ||
19.37.2	ā hi te dakṣiṇaṃ padaṃ hṛdayyaṃ dade | upasthe padamopi ni tvām akri sve vaśe ||
19.37.3	pari tvā gām ivāsaraṃ mama patto nipattave | tan mārutaṃ ha vairudham āvataṃkaraṇaṃ kṛtam ||
19.37.4	ā nayāmi te mano aśvam ivāśvābhidhānyā | upa te muñce manaḥ pador upānahau yathā ||
19.37.5	yathā surā yathā madhu yathākṣā adhidevane | yathā ha gavyato mana evā mām abhi te manaḥ ||
19.37.6	evā kṛṇuṣva mā priyām antaḥ kṛṇuṣva mā hṛdi | yathā mannāpacetayā nānyāsāṃ kīrtayāś cana ||
19.37.7	yasyedaṃ vaiṣṭapaṃ havir bhagasya hastayor hitam | tenā tvābhi mṛśāmasi saubhāgyāya svastaye ||
19.37.8	bhaga memāṃ saṃ baṭ karo mā paścān mā paro daghaḥ | adhā bhagasya yo bhagas tenemāṃ saṃ sṛjā bhaga ||
19.37.9	bhagena tvā saṃ sṛjāmi māsureṇa surām iva | yathāsasi priyā patyur devṛbhyaḥ subhagāsasi ||
19.37.10	ud ito daivyaṃ vaca iṣum iva tunnaḥ khide | tenā sapatnān māmakān sāsahāni jahāni ca ||
19.37.11	agnir mā pātu vasubhiḥ purastāt savitādityair abhi pātu dakṣiṇāt | indro marudbhir abhi pātu paścād viśve devā abhi rakṣantu mottarāt ||
19.37.12	devarakṣasān mā pāhi manuṣyarakṣasān mā pāhi | viśvasmān mā rakṣasas pāhi ||
19.37.13	asau yas trikakud giriḥ śṛṅgābhyām abhitiṣṭhati | sa saṃpatatram udyugaṃ balāsam iva tiṣṭhatu ||
19.37.14	divyaḥ suparṇa ā patad ayodaṃṣṭro ayomukhaḥ | sa saṃpatatram udyugam ito yakṣmaṃ parā bhavat ||
19.37.15	sākaṃ balāsa pra pata cāṣeṇa kikidīvyā | sākaṃ vātasya dhrājyā saha naśya nihākayā ||
19.38.1	mābhi gāyaḥ śābaleyaṃ śauṇeyaṃ sādhuvāhinam | namas te bhadrayā kṛṇmo 'vihvṛtā cakṣuṣā tvaṃ śamakā śamayāti tvā ||
19.38.2	tṛndhi vi kṣiṇīhi peśaḥ kurvāṇikā tvam | jāreṇa patyā jakṣatī gṛhān gopāyamānikā śamakā śamayāti tvā ||
19.38.3	āṅkṣvābhyaṅkṣva- -abhyaktā śamanaṃ gamaḥ | atho pitṛbhyo gā iccha vijñānena bhagena ca śamakā śamayāti tvā ||
19.38.4	apehi manasas pāpa- -apa krāma parastaram | paro nirṛtyā ā cakṣur bahutrā jīvato manaḥ ||
19.38.5	bhadraṃ vai varaṃ vṛṇate bhadraṃ yuñjanti dakṣiṇam | bhadraṃ vaivasvataṃ cakṣur bahutrā jīvato manaḥ ||
19.38.6	yan me chidraṃ manaso yac ca vācaḥ sarasvatīṃ manyucittaṃ jagāma | viśvais tad devaiḥ saha saṃvidānaḥ saṃ dadhātu bṛhaspatiḥ ||
19.38.7	sphirā sphirataraṃ sphirā āttāraḥ | śatahasta samāhara sahasrahasta saṃ kira ||
19.38.8	ihaivā kira saṃ kira- -ihaiva sphātim asphiram | sphireyam astv oṣadhiḥ samudrasyeva saṃsravaḥ ||
19.38.9	ut tirā ā gamann upa- -ut tirāṇyāgaman | vṛṣṭe śāpaṃ nadīr iva- -iha sphātiṃ samāvahān ||
19.38.10	vi mayūkhā ā yacchantu gardabhā iva duryujaḥ | muhyantu sarve tantavo vṛtā nāḍī vitantrike ||
19.38.11	pra vām īṣve patatāṃ pra taṭā pra niveṣṭanam | muhyantu sarve tantavo andhe vitatavāyyau ||
19.38.12	āyavanī niveṣṭanaṃ vratā tasaram īṣve | muhyantu sarve tantavo andhe vitata vāyyau ||
19.38.13	mayārakārī prathamā- -ūrṇavābhir atho śakā | devānāṃ patnīḥ kṛttikā imaṃ tantum amūmuhan ||
19.38.14	agnir na etu prathamaḥ puraetā bṛhaspatiḥ | adhā bhaga pra ṇo yaccha tvaṃ hi dhanadā asi ||
19.38.15	pra ṇaḥ śūdra utāryaḥ pra ṇo rājota vṛtrahā | atho yat sarvam ātmanvat pra ṇo yacchatu dakṣiṇām ||
19.38.16	kavir yajñasya vi tanoṣi panthām ṛtasya pṛṣṭhe adhi dīdhyānaḥ | yena havyaṃ vahasi deva dūta itaḥ pracetā amuto vanīyān ||
19.38.17	madhuhasto madhujihvo madhuvarṇo madhuvrataḥ | atho madhupraśāsano bhago mā varcasāvatu ||
19.39.1	yā triṣaptaiḥ punar eti nānā rūpāṇi bibhratī | vācaspatir balā tasyā āre hetiṃ dadhātu mat ||
19.39.2	vācā nuttā kṛtyād indravatī jāgratā svapatī kṛtā | nuttā pākasya śaṃsena pratyak kartāram ṛcchatu ||
19.39.3	yad etad bhūri spardhase kṛtyāsmīti manyase | pratīcīnā paretya viṣād iva viṣamad dhataḥ ||
19.39.4	pareṇaitv aghaśaṃso mainena sam arāmahi | dyauś cāsmān pṛthivī ca- -ubhe pātām aṃhasaḥ ||
19.39.5	yava yāvayāsmad dveṣāṃsi yavamayena haviṣā | durhārde cakruṣe kṛtyāṃ grīvāsu prati muñcatam ||
19.39.6	anyā vo anyām avatv anyānyasyā upāvata | aśvā iva pravalgantīḥ kṛtyāṃ hatauṣadhayo 'rātiṃ hatauṣadhayaḥ ||
19.39.7	mehopa gā mopa raṃsthāḥ pathāṃ durgāṇy anv ihi | sapatni naśyatād ito dūraṃ gacchādhy okasaḥ ||
19.39.8	yasyās te nāma gṛhnāmi yasminn āramasecane | ā parasyāḥ parāvataḥ sapatnīṃ nāśayāmasi ||
19.39.9	triṃśataṃ trīṃś ca parvatāṃś caturaś ca girīn ati | sapatnīṃ brahmaṇaspate paro bhrūṇāny arpayā ||
19.39.10	un mādayata marutaḥ samudriyā ud dyāvāpṛthivī ubhe | ut tvā samudra ṛṣantu- -ut tvām agnir ayaṃ dahāt ||
19.39.11	yat sapatnī sapatnyā amuṣyā varca ādade | adhastād upavādiny asau syād aham uttarāt ||
19.39.12	ā te badhnāmy oṣadhiṃ sapatnībhyaḥ pracātanīm | yathā te 'sad ayaṃ patiḥ putrāṇāṃ te bhavat pitā ||
19.39.13	yāny ṛṇāny anuvartāny asmin yamasya yena balinā carāmi | idaṃ tad agne anṛṇo bhavāmi- -idaṃ tad agne avadānam astu ||
19.39.14	yās te sapta pravato yā u tisro yās te santi nivato yā abhīvataḥ | arvāvato aṣṭadhā trīṇi rocanā tās te agne saṃmanaso bhavantu jānan yamāya ni vahā kusīdam ||
19.39.15	yās ta ūrdhvās tanvo jātavedo yās tiraścīr uta yā anūcīḥ | tābhiṣ ṭvam agne sayujā gṛṇāno jānan yamāya ni vahā kusīdam ||
19.40.1	nāśaya palitaṃ śīrṣṇo yaḥ kṛṣṇas tan na ā bhara | tam oṣadhe tvaṃ vardhaya keśaṃ kṛṣṇataraṃ kṛdhi ||
19.40.2	yathāñjanaṃ tathāsasi yathā traikakudaṃ tathā | tat saṃbhavāt tat sabhas te vyucchantīr anūṣasaḥ ||
19.40.3	yatrāsti yatra tiṣṭhati yato naśyatvāsinam | divyaḥ suparṇo abravīd etat palitabheṣajam ||
19.40.4	divo nu mā bṛhato antarikṣād apāṃ stoko abhy apaptad rasāya | sam indriyeṇa payasāham agne ṛṣīṇāṃ yajñaiḥ sukṛtāṃ kṛtena ||
19.40.5	yadi vṛkṣād abhy apaptat phalaṃ tad yady antarikṣāt tad u vāyur eva | yatrāspṛṣṭa tanvo yatra vāsaso na tat prāpnoti nirṛtiḥ parastāt ||
19.40.6	abhyañjanaṃ surabhyād u vāsaś candraṃ hiraṇyam adhi pūtrimaṃ yat | sarvā pavitrā vitatādhy asmiṃc chataṃ jīvāti śaradas tavāyam ||
19.40.7	yaḥ kīkasāḥ praśṛṇāti talīḍyam upatiṣṭhati | parāsthaṃ sarvaṃ jāyānyaṃ yaḥ kaś ca kakubhi śritaḥ ||
19.40.8	pakṣī jāyānyaḥ patati ya āviśati pūruṣam | tasyāhaṃ veda te nāma yato jāyānya jāyase ||
19.40.9	veda vai te nāma yato jāyānya jāyase | kathaṃ hi tatra tvaṃ hanyā yat kuryām ahaṃ haviḥ ||
19.40.10	ya āsyaṃ praviśati karoty udaraṃ mahat | yakṣmo yo atra jāyase taṃ jāyānyam anīnaśam ||
19.40.11	ārohān me mukhaṃ jātam ārohāj jaghanaṃ mama | ārohāt sarvā jātāsmy ṛṣabhasyopayodhanāt ||
19.40.12	svādīyasī surāyā lavaṇāc cārumattarā | gobhyo vanīyasīd aham ||
19.40.13	yāṃ tvā vāto 'vārayad ārdranābhā maharṣabhaḥ | tasyās te devi pṛthivyā ahaṃ saṃvananaṃ dada ā te śauṣkāsyaṃ dade ||
19.40.14	yuktau manasā saṃ suretasā devebhyo havyaṃ kṛṇavāva sādhu | yeṣāṃ bhāgas ta idaṃ juṣantām avikṣubdhāv udayāva bhadrayā ||
19.40.15	yena devā jyotiṣā dyām udāyan yenādityā vasavo yena rudrāḥ | yenāṅgirasaḥ svar āruruhus tenod ayāva yajamānau svasti ||
19.40.16	yaṃ papācāditiḥ putrakāmā yena prajāḥ kaśyapaḥ paryagṛhnāt | ya odanaḥ pacyate vaiśvadevaḥ sa no yame akṣito bhāgo astu ||
19.41.1	somasya prāṇaḥ pavate purastād dakṣiṇata aindra ā vātu vātaḥ | asya diśo māturo yā pratīcī sa no devāḥ śivo astv iha vātaḥ ||
19.41.2	mitrasya prāṇaḥ pavate ya uttarād bṛhaspater ūrdhva ud vātu vātaḥ | yo antarikṣam anu vāti vidvān sa no devaḥ śivo astv iha vātaḥ ||
19.41.3	ya uttarāt pavate yaḥ purastād yo dakṣiṇāt pavate yaś ca paścāt | ūrdhvām̐ uddeśām̐ anu yaḥ pravāti sa no devaḥ śivo astv iha vātaḥ ||
19.41.4	trīṇy antarikṣāṇy anu vāsi vāta tisro vāsi parāvataḥ | sahasrākṣau vṛtrahā pāhy arvāṅ vinudaṃ kṣetriyaṃ rapaḥ ||
19.41.5	na tatra dāraḥ kṛpaṇaṃ sasāra na pratighnānā rudatī na bibhratī | indro no yatrorukṛd vicakṣaṇaḥ sa no *'jyāni mahatīṃ ni yacchāt ||
19.41.6	indraḥ senāṃ mohayatu maruto ghnantv ojasā | agner vātasya dhrājyā tān viṣūco vi nāśaya ||
19.41.7	na dyaur eṣāṃ na pṛthivī nāditir na dhanaṃjayā | cakṣūṃṣy agnir ā dhattāṃ punar yantu parājitāḥ ||
19.41.8	amitrāṇāṃ daraya grāmam indra yo naḥ śatrur abhyeti jighāṃsan | yathaiṣām indranuttānām agninā veśo anu vartayāni me ||
19.41.9	jihmaṃ yugaṃ kṛṇvatām indranuttāḥ parācīnaiḥ pathibhir yantu riṣyantaḥ | tañ jayanto anv āsadema- -agninā veśo anu vartayantaḥ ||
19.41.10	amitrāṇāṃ grāmam upayuktam indreṇa nuttaṃ vi radāty agniḥ | satvānaḥ santv anumādyā ime yebhyaś carāmi haviṣā ghṛtena ||
19.41.11	aryamaṇaṃ hi devaṃ bhadraṃ kanyā yam ayakṣata | sa enā vṛtrahā deva ito muñcātu māmutaḥ ||
19.41.12	iyaṃ te rājan varuṇa jāmikā kṛṇute haviḥ | tasyai patiṃ ny ā vaha subhadraṃ pratikāmyam ||
19.41.13	ā krandaya dhanapate varam āmanasaṃ kṛṇu | sarvaṃ pradakṣiṇaṃ kṛdhi patim asyai pratikāmyam ||
19.41.14	ā paścād ā purastād ottarād adharād uta | pūrṇā bhagasya vartanis tenemām abhi vartayāmasi varcasā ca bhagena ca ||
19.41.15	nāsṛg asti pataṅgasya tardasya maśakadyāḥ | na saṃpatatram udyugo nyag glaur atra bhaviṣyati ||
19.41.16	apadasvad apādasat tuṇḍivyadhmāpādasat | apāpacid ito 'dasad apeto glaur naśiṣyaty apivyadhman naśiṣyati ||
19.41.17	yathā sūryaś candramasam udyann evāpagūhati | evā tvam ugra oṣadha imāṃ glāvam apagūhatād itaḥ ||
19.42.1	apadasvad apādasat tuṇḍivyadhmāpādasat | apāpacid ito 'dasad apeto glaur naśiṣyaty apivyadhman naśiṣyati ||
19.42.2	mā śile mā śilāvati mā te śeṣi śilaṃ cana | yāvac chilasya te śilaṃ tāvac cheṣaḥ śilaṃ tava ||
19.42.3	yathā yūpāgrād udakaṃ viniṣṭaṃ bhūmim aśnute | evā tvam arase śile viniṣṭā bhūmim aśnuhi ||
19.42.4	vajro 'si sapatnahā tvayādya vṛtraṃ sākṣīya | tvām adya vanaspate vṛkṣāṇām ud ayuṣmahi ||
19.42.5	sa na indra purohito viśvatas pāhi rakṣasaḥ | abhi gāvo anūṣata- -abhi dyumnaṃ bṛhaspate ||
19.42.6	prāṇa prāṇaṃ trāyasva- -aso asave mṛḍa | nirṛte nirṛtyā naḥ pāśebhyo muñca ||
19.42.7	hatsuke pari ṇo nama pārigaṃ tanve kṛdhi | yuyuta parṇinaṃ śaram utāparṇaṃ riśād iti ||
19.42.8	prajāpatiṣ ṭvā prajayā saṃ putreṇa sṛjatu saṃ bhagena | diṣṭaṃ deṣṭīha kāmo brāhmaṇasya pumāṃsaṃ dhatsva savituḥ savena ||
19.42.9	pra tvā sarpatv aṅkataḥ kumāraḥ puruṣād adhi | ṛtor yam ṛtviyād adhi yaṃ te dhātā acīkl̥pat ||
19.42.10	yaṃ te dhātā yaṃ te tvaṣṭā yaṃ te brahmācīkl̥pat | taṃ tvaṃ putraṃ vindasva tasmai tvaṃ jīva jīvase ||
19.42.11	dhvasrās tiṣṭhanti rajasā samaktā yajñasya hotrāḥ pruśitāso aśnāḥ | āsāṃ somasya yad ihāvayanti tad amūtra yajamānasya rūpam ||
19.42.12	ye brāhmaṇaṃ varco hitvāya malvā reṇo varṇena paridhāpayanti | āsāṃ somasya yad ihāvayanti tad amūtra yajamānasya rūpam ||
19.42.13	asārathiḥ sumanaso yathā ratho hitvā savyaṣṭhāṃ rakṣaso yāti yāmam | evā yajño yajamānaṃ jahāti yatra somyaṃ somapīthān nayanti ||
19.42.14	chandāṃsi tad yajamānasya yanti yatra somyaṃ somapīthān nayanti | abrāhmaṇo yat pibati somam asya tad vai chidraṃ dakṣiṇayāpidheyam ||
19.42.15	'bradhno 'si vājī paripānī prathamā devebhyas paryābhṛtā | mā te riṣaṃ khanitā yasmai ca tvā khanāmasi ||
19.42.16	mā devāḥ pāpam ārāma mā karta pāpayāmuyā | māhaṃ pariṣyajo hastam ā rapsi dhanakāmyā ||
19.42.17	mā mā devāḥ parā dāta mā mā karta vyādhyam | māhaṃ pariṣvajaḥ śira ā rapsi mo ahaṃ mṛṣi ||
19.43.1	pratīkaṃ me vicakṣaṇam akṣau me madhukāśinī | karṇābhyāṃ bhūrisusravaḥ ||
19.43.2	jihvā me madhusaṃsrāvā jihvā me madhuvādinī | tayāham adya jihvayā- -udyāsaṃ madhumad vacaḥ ||
19.43.3	yathā madhu madhukṛtaḥ saṃbharanti madhāv adhi | evāham adya chandobhir udyāsaṃ madhumad vacaḥ ||
19.43.4	vāyoḥ pūtaḥ pavitreṇa pratyak somo adhiśritaḥ | indrasya yujyaḥ sakhā ||
19.43.5	yat kiñ cedaṃ varuṇa daivye jane abhidrohaṃ manuṣyāś caranti | ati cet tava dharmā yuyopima mā nas tasmād enaso deva rīriṣaḥ ||
19.43.6	āpo asmān mātaraḥ sūdayantu ghṛtena no ghṛtapavaḥ punantu | viśvaṃ hi ripraṃ pravahanti devīr ud id ābhyaḥ śucir ā pūta emi ||
19.43.7	mitraś ca samrāḍ varuṇaś ca rājā tau te bhakṣaṃ kṛṇutāṃ prātar agne | tayor aham anu bhakṣaṃ kṛṇomi sūryavarcā bhaga bhakto na ā viśa ||
19.43.8	sūryavarcā na ā viśa viśvavin manasas patiḥ | anehā soma jāgṛvir indraḥ prīta stuto nṛbhiḥ ||
19.43.9	indra prītasya te vayaṃ śukrasya rocanāvataḥ | bhakṣīmahi prajām iṣaṃ sāhasrasya yaśasvinaḥ ||
19.43.10	agniḥ prātaḥsavane pātv asmān vaiśvānaraḥ pathikṛd viśvakṛṣṭiḥ | sa naḥ pāvako draviṇe dadhāty āyuṣmantaḥ sahabhakṣāḥ syāma ||
19.43.11	viśve devā maruta indro asmān asmin dvitīye savane na jahyuḥ | āyuṣmantaḥ priyam eṣāṃ vadanto vayaṃ devānāṃ sumatau syāma ||
19.43.12	idaṃ tṛtīyaṃ savanaṃ kavīnām ṛtena yac camasaṃ samairayan | saudhanvanā amṛtam ānaśānāḥ sviṣṭin no abhi vasyo nayātha ||
19.43.13	saṃ saṃ sravantu nadyaḥ saṃ vātāḥ saṃ patatriṇaḥ | yajñam imaṃ vardhayatā giraḥ saṃsrāvyeṇa haviṣā juhomi ||
19.43.14	imaṃ homā yajñam avata- -imaṃ saṃsrāvaṇā uta | yajñam imaṃ vardhayatā giraḥ saṃsrāvyeṇa haviṣā juhomi ||
19.43.15	rūpaṃrūpaṃ vayovayaḥ saṃrabhyainaṃ pari ṣvaje | yajñam imaṃ catasraḥ pradiśo vardhayantu saṃsrāvyeṇa haviṣā juhomi ||
19.44.1	syūtā devebhir amṛtair na āgann ukhā svasāram adhi me dimasthāt | satyaṃ pūrvā ṛṣayaś cākṛpānā yajñapateḥ su pra tirantv āyuḥ ||
19.44.2	ukhāṃ sravantīm agadām akarma tvaṣṭā vāyuḥ pṛthivy antarikṣam | yata ścutad dhutam agnau tad astu na tat prāpnoti nirṛtiḥ parastāt ||
19.44.3	antar agnāv aścutat stoka eṣa nainaṃ suvātai nirṛtiḥ parastāt | viśvāvasor haviṣo vāvṛdhāno 'yaṃ yajñaḥ sukṛtām etu lokam ||
19.44.4	śyeno 'si gāyatracchandā anu tvā rabhe svasti mā saṃ pāraya ||
19.44.5	samrāḍ asi triṣṭupchandā anu tvā rabhe svasti mā saṃ pāraya ||
19.44.6	svaro 'si gayo 'si jagacchandā anu tvā rabhe svasti mā saṃpāraya ||
19.44.7	trāyamāṇe sarvavide mā pari dehi | sarvavid dvipāc ca sarvaṃ rakṣa catuṣpād yac ca naḥ svam ||
19.44.8	sarvavid viśvavide mā pari dehi | viśvavid dvipāc ca sarvaṃ rakṣa catuṣpād yac ca naḥ svam ||
19.44.9	viśvavit kalyāṇyai mā pari dehi | kalyāṇi dvipāc ca sarvaṃ rakṣa catuṣpād yac ca naḥ svam ||
19.44.10	kalyāṇi trāyaṃāṇāyai mā pari dehi | trāyamāṇe dvipāc ca sarvaṃ rakṣa catuṣpād yac ca naḥ svam ||
19.44.11	vi khana vi ruja vi jahy atraivānākṛtaś cara | sam aham āyuṣā saṃ mayāyuḥ ||
19.44.12	vi khana vi ruja vi jahy atraivānākṛtaś cara | sam ahaṃ varcasā saṃ mayā varcaḥ ||
19.44.13	vi khana vi ruja vi jahy atraivānākṛtaś cara | sam ahaṃ tejasā saṃ mayā tejaḥ ||
19.44.14	vi khana vi ruja vi jahy atraivānākṛtaś cara | sam ahaṃ prajayā saṃ mayā prajā ||
19.44.15	vi khana vi ruja vi jahy atraivānākṛtaś cara | sam ahaṃ paśubhiḥ saṃ mayā paśavaḥ ||
19.44.16	divo reto 'si pṛthivyā nabhyam | nabhyam asi nabhyaṃ mā kṛṇu ||
19.44.17	divo reto 'si pṛthivyāḥ śaktiḥ | śaktir asi śaktaye te vidheyam ||
19.44.18	divo reto 'si pṛthivyā vittiḥ | vittir asi vittaye te vidheyam ||
19.44.19	divo reto 'si pṛthivyāḥ puṣṭiḥ | puṣṭir asi puṣṭaye te vidheyam ||
19.44.20	divo reto 'si pṛthivyā bhūtiḥ | bhūtir asi bhūtaye te vidheyaṃ bhūtir asi bhūtāsi bhūyāsam ||
19.44.21	śukro 'si bhrājo 'si | sa yathā tvaṃ bhrājato bhrājo 'sy evāhaṃ bhrājato bhrājyāsam ||
19.44.22	sāyaṃsāyaṃ gṛhapatir no agniḥ prātaḥprātaḥ saumanasasya dātā | vasorvasor vasudhāna edhi vayaṃ tvendhānās tanvaṃ puṣema ||
19.44.23	prātaḥprātar gṛhapatir no agniḥ sāyaṃsāyaṃ saumanasasya dātā | vasorvasor vasudhāna edhi- -indhānās tvā śataṃ himā ṛdhema ||
19.44.24	yo na āviḥ śapati yaś ca stāyad yadi cittyā manyunā yat sapatnaḥ | agniṣ ṭān pāśān pra mumoktu devo yāvayatu śapathām̐ varuṇo dhṛtavrataḥ ||
19.45.1	prāgnaye vācam īraya vṛṣabhāya kṣitīnām | sa naḥ parṣad ati dviṣaḥ ||
19.45.2	yaḥ parasyāḥ parāvatas tiro viśvābhirocate | sa naḥ parṣad ati dviṣaḥ ||
19.45.3	yo rakṣāṃsi nijūrvaty agniḥ śukreṇa śociṣā | sa naḥ parṣad ati dviṣaḥ ||
19.45.4	yo viśvābhi vipaśyati bhuvanā saṃ ca paśyati | sa naḥ parṣad ati dviṣaḥ ||
19.45.5	madhu vātā ṛtāyate madhu kṣaranti sindhavaḥ | mādhvīr gāvo bhavantu naḥ ||
19.45.6	madhu naktam utoṣaso madhumat pārthivaṃ rajaḥ | mādhvīr naḥ santv oṣadhīḥ ||
19.45.7	madhumān no vanaspatir madhumām̐ astu sūryaḥ | madhu dyaur astu naḥ pitā ||
19.45.8	āpo hi ṣṭhā mayobhuvas tā na ūrje dadhātana | mahe raṇāya cakṣase ||
19.45.9	yo vaḥ śivatamo rasas tasya bhājayateha naḥ | uśatīr iva mātaraḥ ||
19.45.10	tasmā araṅgamāma vo yasya kṣayāya jinvatha | āpo janayathā ca naḥ ||
19.45.11	āyaṃ gauḥ pṛśnir akramīd asadan mātaraṃ punaḥ | pitaraṃ ca prayaṃtsvaḥ ||
19.45.12	asya prāṇād apānaty antaś carati rocanā | vy akhyan mahiṣo divam ||
19.45.13	triṃśad dhāma vi rājati vāk pataṅgāya śiśriyat | prati vastor aha dyubhiḥ ||
19.45.14	yac chakrā vācam āruhann antarikṣaṃ siṣāsantaḥ | saṃ devā amadan vṛṣā ||
19.45.15	śakro vācam adhiṣṭhāya- -uruvāco asṛṣṭa hi | mahiṣā amadan divi ||
19.45.16	śakro vācam asṛṣṭa hi dhāmadharman vi rājati | vimadaṃ barhir ā sarat ||
19.46.1	dhruvo 'si dharuṇo 'stṛto viśvakarmaṇā sudhṛtaḥ | mā tvā samudra ud vadhīn mā suparṇo 'vyathamāna imaṃ dṛṃha ||
19.46.2	āṣāḍho 'si sahamānaḥ sahasva- -ārātiṃ sahasva pṛtanāyataḥ | sahasravīryo 'si sa imaṃ jinva ||
19.46.3	adbhyaḥ saṃbhūto 'si pṛthivyā rasāc ca viśvakarmaṇaḥ samavartathā adhi | tasya tvaṣṭā vidadhad eti rūpaṃ vidvān tat te devam ājānam agre ||
19.46.4	ṣaṣṭiś cādhvaryo navatiś ca pāśā hotāram agnim antarā vicṛttāḥ | sinanti pākam ati dhīra ety ṛtasya panthām anv eti vidvān ||
19.46.5	yo adhvaryuḥ sapta hotrāṇi vidvān pūrvo hotur yajata ājigharti | ūrdhvaṃ sa yajñam adhvaraṃ kṛṇoti ya īṃ ciketa haviṣo vibhāge ||
19.46.6	atro vibhaktari haviṣo vibhāge mā nir bhākṣīd bhāginaṃ mopahaty | mo abhāgo vidita yo mumoha ||
19.46.7	vāta ā vātu bheṣajaṃ śambhu mayobhu no hṛde | pra ṇa āyūṃṣi tāriṣat ||
19.46.8	uta vāta pitāsi na uta bhrātota naḥ sakhā | sa no jīvātave kṛdhi ||
19.46.9	yad ado vāta te gṛhe nihitaṃ bheṣajaṃ guhā | tasya no dehi jīvase ||
19.46.10	yo na jīvo 'si na mṛto devānām amṛtagarbho 'si svapna | varuṇaṇī te mātā yamaḥ pitā ||
19.46.11	yathā kalāṃ yathā śaphaṃ yatha rṇaṃ saṃnayanti | evāha duṣvapnyaṃ sarvam apriye saṃ nayāmasi ||
19.46.12	ararur nāmāsi taṃ tvā svapna tathā vidma sa naḥ svapna susvapnyatāṃ dhehi ||
19.46.13	naitasyāgre havir adanti devā nirbhakta eṣa sukṛtasya lokāt | pāpīṃ dhiyaṃ jujuṣa ātmanaiṣa sa hi duṣkṛn manuṣyeṣv antaḥ ||
19.46.14	yo mātṛhā pitṛhā svasṛhā ye ca duṣkṛtaḥ | vidhiṣau te amṛkṣata malaṃ manuṣyā iva ||
19.46.15	etad evaitaṃ nirarṣur devā bhrūṇaghnyā lokam apy ety eṣaḥ | na te cṛtye haviṣā nāthitasya rāṣṭram ete śakrā vi cṛtanti pāśam ||
19.47.1	ya ākho yo vyukho vīṇavām̐ iha sarpati | taṃ pari paribheṣajaṃ vṛścikajambhanam asi ||
19.47.2	mayūro atti vṛścikaṃ mayūraṃ vayam admasi | taṃ pari paribheṣajaṃ vṛścikajambhanam asi ||
19.47.3	āpa id vā u bheṣajīr āpo amīvacātanīḥ | āpo viśvasya bheṣajīr āpo vṛścikajambhanīḥ ||
19.47.4	tvam agne vratapā asi deva ā martyeṣv ā | tvaṃ yajñeṣv īḍyaḥ ||
19.47.5	yad vo vayaṃ pramināma vratāni viduṣāṃ devā aviduṣṭarāsaḥ | agniṣ ṭad viśvād ā pṛṇātu vidvān somasya yo brāhmaṇām̐ āviveśa ||
19.47.6	ā devānām api panthām aganma yac chaknavāma tad anu pravodhum | agnir vidvān sa yajāt sa id dhotā so adhvaraṃ sa ṛtūn kalpayāti ||
19.47.7	ut tudā i śimidvatīṃ vi duryoṇā iva dupadā i | ud asyāḥ pātayā manaḥ śaśvatībhyaḥ samābhyaḥ ||
19.47.8	pakvaṃ māṃsam ivāsinā śakuniprapatanāṃ kṛdhi | mṛgām̐ anu pra pātaya marīcīr anu nāśaya ||
19.47.9	viṣvañcau gāvāv ā kuru viṣvañcau yugyā uta | utāsau sūrya ūrdhvaṃ viṣvañcau vāṃ vy ā karat ||
19.47.10	viṣam ugraṃ viṣaṃ sthiraṃ viṣasya mahimā mahān | viṣaṃ parasvataḥ śiraḥ śatadhā vy apātayat ||
19.47.11	saṃ daha vrajaṃ yathā vasudhā vasu vartayat | yaṃ viṣa prasarpasi sam agnir iva taṃ daha ||
19.47.12	gṛhāṇa māṃsāny ava lomāni pātaya | pāṃśūn kṛkāṭa ā vāpāc chindhy uttānapādam ardaya ||
19.47.13	madhor ahaṃ madhutaro madhughān madhumattaraḥ | āsani kila me madhu mukhe nimandanaṃ kṛtam ||
19.47.14	mām it tvam abhi cākaśo mṛgas tṛṣyann ivodakam | adhaspadān ma ud vadān maṇḍūko gośaphād iva ||
19.47.15	ud vadā me adhaspadān maṇḍūko gośaphād iva | atho 'pa cakrā āsāsai śvā bandha ivāhataḥ ||
19.48.1	ā vada bahulaṃ goṣṭhaṃ suvīraṃ bahupūruṣam | yatheto na pramīyātā evā me goṣṭham ā vada ||
19.48.2	ā vada duhituṣ pate bhrātur jāmātar ā vada | paścā ta udbhūtaḥ sphigaḥ kiṣkindhānām avīr jahi ||
19.48.3	yad ulūko vadati mogham etad yat kapotaḥ padam agnau kṛṇoti | śrutakarṇāya kavaye stomyāya tasmai yamāya namo astv adya ||
19.48.4	ya aindrāḥ pāśā ye ca vāruṇā āre asmat tān devī nirṛtir dadhātu ||
19.48.5	ye vaiśvānarāḥ pāśā ye ca mārutā āre asmat tān devī nirṛtir dadhātu ||
19.48.6	ye vaiśvadevāḥ pāśā ye ca vaiśvakarmaṇā āre asmat tān devī nirṛtir dadhātu ||
19.48.7	nārade kitave varuṇe soma aicchan mahimānaṃ mahāntam | avindat taṃ viśvakarmā samudre akṣāṇāṃ klandam ainam asmin dadhāmi ||
